Device,Order,NSamples,NTraces,NLabels,Time
GPU,8,800,20000,8,0.02677
GPU,16,800,20000,8,0.0502
GPU,32,800,20000,8,0.09707
GPU,2,1600,20000,8,0.03056
GPU,4,1600,20000,8,0.03924
GPU,8,1600,20000,8,0.06191
GPU,16,1600,20000,8,0.10997
GPU,32,1600,20000,8,0.20461
GPU,2,100,20000,16,0.00181
GPU,4,100,20000,16,0.00288
GPU,8,100,20000,16,0.00528
GPU,16,100,20000,16,0.0101
GPU,32,100,20000,16,0.01973
GPU,2,200,20000,16,0.00357
GPU,4,200,20000,16,0.00579
GPU,8,200,20000,16,0.0106
GPU,16,200,20000,16,0.02021
GPU,32,200,20000,16,0.04048
GPU,2,400,20000,16,0.01037
GPU,4,400,20000,16,0.01477
GPU,8,400,20000,16,0.02441
GPU,16,400,20000,16,0.04413
GPU,32,400,20000,16,0.08455
GPU,2,800,20000,16,0.0308
GPU,4,800,20000,16,0.03947
GPU,8,800,20000,16,0.0592
GPU,16,800,20000,16,0.09941
GPU,32,800,20000,16,0.18023
GPU,2,1600,20000,16,0.08178
GPU,4,1600,20000,16,0.10341
GPU,8,1600,20000,16,0.14465
GPU,16,1600,20000,16,0.21539
GPU,32,1600,20000,16,0.38108
GPU,2,100,20000,32,0.00349
GPU,4,100,20000,32,0.00543
GPU,8,100,20000,32,0.00985
GPU,16,100,20000,32,0.01875
GPU,32,100,20000,32,0.04147
GPU,2,200,20000,32,0.01214
GPU,4,200,20000,32,0.01605
GPU,8,200,20000,32,0.02496
GPU,16,200,20000,32,0.04347
GPU,32,200,20000,32,0.09047
GPU,2,400,20000,32,0.03796
GPU,4,400,20000,32,0.04585
GPU,8,400,20000,32,0.06423
GPU,16,400,20000,32,0.10138
GPU,32,400,20000,32,0.19757
GPU,2,800,20000,32,0.10082
GPU,4,800,20000,32,0.12091
GPU,8,800,20000,32,0.15754
GPU,16,800,20000,32,0.23451
GPU,32,800,20000,32,0.42019
GPU,2,1600,20000,32,0.23655
GPU,4,1600,20000,32,0.2667
GPU,8,1600,20000,32,0.34147
GPU,16,1600,20000,32,0.49433
GPU,32,1600,20000,32,0.87549
GPU,2,100,20000,64,0.01026
GPU,4,100,20000,64,0.01424
GPU,8,100,20000,64,0.02303
GPU,16,100,20000,64,0.04209
GPU,32,100,20000,64,0.13393
GPU,2,200,20000,64,0.03297
GPU,4,200,20000,64,0.0412
GPU,8,200,20000,64,0.05976
GPU,16,200,20000,64,0.09866
GPU,32,200,20000,64,0.28056
GPU,2,400,20000,64,0.09978
GPU,4,400,20000,64,0.11881
GPU,8,400,20000,64,0.15632
GPU,16,400,20000,64,0.2351
GPU,32,400,20000,64,0.61785
GPU,2,800,20000,64,0.253
GPU,4,800,20000,64,0.2918
GPU,8,800,20000,64,0.36839
GPU,16,800,20000,64,0.52399
GPU,32,800,20000,64,1.34
GPU,2,1600,20000,64,0.56324
GPU,4,1600,20000,64,0.63635
GPU,8,1600,20000,64,0.7952
GPU,16,1600,20000,64,1.08
GPU,32,1600,20000,64,2.78
GPU,2,100,20000,128,0.03136
GPU,4,100,20000,128,0.03963
GPU,8,100,20000,128,0.05781
GPU,16,100,20000,128,0.11228
GPU,32,100,20000,128,0.65016
GPU,2,200,20000,128,0.09311
GPU,4,200,20000,128,0.11008
GPU,8,200,20000,128,0.14979
GPU,16,200,20000,128,0.26064
GPU,32,200,20000,128,1.37
GPU,2,400,20000,128,0.24647
GPU,4,400,20000,128,0.2842
GPU,8,400,20000,128,0.35993
GPU,16,400,20000,128,0.59414
GPU,32,400,20000,128,2.9
GPU,2,800,20000,128,0.56998
GPU,4,800,20000,128,0.65283
GPU,8,800,20000,128,0.80933
GPU,16,800,20000,128,1.31
GPU,32,800,20000,128,6.11
GPU,2,1600,20000,128,1.25
GPU,4,1600,20000,128,1.41
GPU,8,1600,20000,128,1.73
GPU,16,1600,20000,128,2.77
GPU,32,1600,20000,128,13.04
GPU,2,100,20000,256,0.0916
GPU,4,100,20000,256,0.11006
GPU,8,100,20000,256,0.15151
GPU,16,100,20000,256,0.44539
GPU,32,100,20000,256,1.9
GPU,2,200,20000,256,0.23644
GPU,4,200,20000,256,0.27496
GPU,8,200,20000,256,0.35841
GPU,16,200,20000,256,1.1
GPU,32,200,20000,256,4.02
GPU,2,400,20000,256,0.56721
GPU,4,400,20000,256,0.64763
GPU,8,400,20000,256,0.81586
GPU,16,400,20000,256,2.55
GPU,32,400,20000,256,8.58
GPU,2,800,20000,256,1.27
GPU,4,800,20000,256,1.45
GPU,8,800,20000,256,1.77
GPU,16,800,20000,256,5.74
GPU,32,800,20000,256,19.59
GPU,2,1600,20000,256,2.74
GPU,4,1600,20000,256,3.09
GPU,8,1600,20000,256,3.76
GPU,16,1600,20000,256,12.29
